x_m,y_m,n_Cu_m3,S_iz_Cu_m3_s,Bx_T,By_T,Bmag_T
-0.065625,0.06562499999999999,2.681059623923887e+17,118792464518.90837,-0.001044393304363342,3.155137620555336e-05,0.0010448697830540631
-0.065625,0.071875,2.7576613274645664e+17,103604221794.24507,-0.0009021484683501942,8.113013430766612e-07,0.0009021488331514211
-0.065625,0.078125,2.910864734545937e+17,90445328549.37546,-0.0007716249097815169,-3.8860711939530486e-05,0.0007726028451460565
-0.065625,0.08437499999999999,3.064068141627296e+17,79051132086.99846,-0.0006527818436394962,-8.55707450433253e-05,0.0006583665299760077
-0.065625,0.09062499999999998,3.2938732522493504e+17,69194331702.75241,-0.0005453509764259099,-0.00013761399740394,0.0005624458194085763
-0.065625,0.09687499999999999,3.6002800664120723e+17,60678967280.40871,-0.0004488899573776362,-0.00019348528932191101,0.0004888136158276278
-0.065625,0.103125,2.987466438086614e+17,53331656497.98483,-0.00036283017195625953,-0.00025187951806876344,0.00044168883312164614
-0.065625,0.109375,3.830085177034128e+17,46990450142.99527,-0.00028651800720392424,-0.0003116846555551334,0.000423367326279001
-0.065625,0.11562499999999999,3.6002800664120723e+17,41499134605.86453,-0.00021924936576932902,-0.0003719695790303384,0.0004317773177394341
-0.065625,0.12187499999999998,2.910864734545937e+17,36714702546.470085,-0.00016029766302371953,-0.0004319686568441982,0.00046075184347612393
-0.065625,0.128125,3.447076659330715e+17,32518802315.488777,-0.0001089358360857191,-0.0004910646260837977,0.0005030024685570785
-0.065625,0.13437499999999997,2.4512545133018368e+17,28820041913.436905,-6.44530574679544e-05,-0.0005487709350744991,0.0005525429719030979
-0.065625,0.140625,4.059890287656167e+17,25548491294.911762,-2.6166912267340503e-05,-0.0006047144024807299,0.0006052802787678059
-0.065625,0.14687499999999998,4.136491991196849e+17,22649076475.907528,6.568204320097889e-06,-0.0006586187753710934,0.0006586515259067645
-0.065625,0.153125,3.3704749557900256e+17,20076762809.12179,3.435575865452966e-05,-0.0007102895523898895,0.0007111199381166005
-0.065625,0.159375,2.987466438086627e+17,17793554810.572823,5.775418062744238e-05,-0.0007596002714411821,0.0007617926999869877
-0.065625,0.16562499999999997,3.064068141627296e+17,15766687650.957712,7.727584043084286e-05,-0.0008064803377880488,0.0008101741113816327
-0.065625,0.171875,3.9066868805748026e+17,13967507553.833136,9.338743014664091e-05,-0.000850904380967226,0.0008560137134757899
-0.065625,0.17812499999999998,4.5961022124409434e+17,12370738946.242134,0.00010651136190229727,-0.0008928830702364826,0.0008992134603803535
-0.065625,0.18437499999999998,3.447076659330723e+17,10953971635.817131,0.0001170278687085847,-0.0009324552818623408,0.0009397703840446618
-0.065625,0.190625,3.983288584115485e+17,9697277743.418482,0.00012527755941087532,-0.0009696814917856594,0.0009777405905472103
-0.065625,0.19687499999999997,3.52367836287139e+17,8582909096.206782,0.00013156423497096277,-0.001004638259428819,0.0010132162554122696
-0.065625,0.203125,3.447076659330708e+17,7595047572.830766,0.0001361578198568769,-0.0010374136689361873,0.0010463106959234523
-0.065625,0.20937499999999998,3.3704749557900256e+17,6719592590.3559,0.00013929730041088904,-0.0010681036001187172,0.0010771485684381362
-0.065625,0.21562499999999998,3.90668688057482e+17,5943976311.066099,0.00014119359267274174,-0.0010968087106680842,0.0011058593845553878
-0.065625,0.221875,4.672703915981626e+17,5257000705.655582,0.0001420322863094576,-0.0011236320222617695,0.0011325732169737927
-0.065625,0.22812499999999997,3.447076659330708e+17,4648692633.33118,0.0001419762300743758,-0.0011486770149039334,0.0011574178737494697
-0.065625,0.234375,3.52367836287139e+17,4110174276.767478,0.00014116793853663153,-0.0011720461454969304,0.0011805170706283303
-0.065625,0.24062499999999998,3.0640681416273094e+17,3633546972.5000668,0.00013973181053160796,-0.0011938397177390493,0.0012019892888564749
-0.065625,0.24687499999999996,2.6044579203832016e+17,3211786909.851811,0.0001377761576106096,-0.0012141550407131767,0.001221947107077536
-0.065625,0.253125,2.6044579203832016e+17,2838651448.353061,0.00013539504632747575,-0.0012330858228239135,0.0012404968621561874
-0.065625,0.25937499999999997,3.600280066412088e+17,2508594989.768924,0.0001326699619990639,-0.0012507217560076259,0.0012577385379194009
-0.065625,0.265625,3.4470766593306925e+17,2216693473.4949737,0.00012967130402935994,-0.0012671482523942794,0.0012737658107495864
-0.065625,0.271875,2.2980511062204826e+17,1958576664.6950471,0.00012645972432619314,-0.0012824463018945838,0.0012886662015897485
-0.065625,0.27812499999999996,4.136491991196831e+17,1730367485.5563602,0.00012308732102927624,-0.0012966924245966054,0.0013025212983304294
-0.065625,0.284375,2.987466438086627e+17,1528627708.6135488,0.00011959869991577275,-0.0013099586964692841,0.001315407022741269
-0.065625,0.29062499999999997,3.0640681416273094e+17,1350309391.3812594,0.0001160319156153808,-0.0013223128307760378,0.0013273939233988956
-0.065625,0.296875,2.8342630310052362e+17,1192711485.9004343,0.00011241930427405294,-0.0013338183008876547,0.0013385474813230544
-0.065625,0.303125,2.8342630310052614e+17,1053441106.5880331,0.00010878821864689744,-0.0013445344929325712,0.0013489284188576544
-0.065625,0.30937499999999996,3.37047495579001e+17,930378985.7430767,0.00010516167584580669,-0.0013545168790101093,0.0013585930051306704
-0.065625,0.315625,2.987466438086627e+17,821648688.63896,0.00010155892716665367,-0.0013638172035862993,0.0013675933534809223
-0.065625,0.32187499999999997,2.451254513301848e+17,725589199.585302,9.799595861087125e-05,-0.0013724836772526325,0.0013759777077514636
-0.065625,0.328125,2.757661327464554e+17,640730526.8485785,9.448592992224372e-05,-0.0013805611733080521,0.0013837907154620516
-0.065625,0.334375,3.447076659330723e+17,565772008.0174291,9.103955919885114e-05,-0.001388091423669117,0.001391073686690564
-0.065625,0.34062499999999996,2.451254513301848e+17,499563028.4117384,8.766545942309658e-05,-0.0013951132114615845,0.001397864838090764
-0.065625,0.34687499999999993,2.2980511062204618e+17,441085893.59029675,8.437043258580632e-05,-0.0014016625583318455,0.0014041995219070864
-0.065625,0.35312499999999997,3.0640681416273094e+17,389440623.04080045,8.115972646636196e-05,-0.0014077729050669223,0.0014101104401573151
-0.065625,0.359375,2.5278562168425078e+17,343831455.874943,7.803725857014568e-05,-0.0014134752845507393,0.0014156278443718663
-0.065625,0.365625,2.451254513301848e+17,303554880.9414505,7.500581121607549e-05,-0.001418798486432086,0.0014207797214269915
-0.065625,0.37187499999999996,2.2980511062204826e+17,267989023.35489553,7.206720130838335e-05,-0.0014237692131526599,0.0014255919661059287
-0.065625,0.37812499999999993,2.451254513301826e+17,236584237.16170076,6.922242791507456e-05,-0.0014284122271956828,0.001430088541080093
-0.065625,0.38437499999999997,2.5278562168425306e+17,208854769.86872202,6.64718004073529e-05,-0.0014327504895782967,0.0014342916250317589
-0.065625,0.390625,2.9874664380866003e+17,184371378.9821487,6.381504958618398e-05,-0.001436805289733744,0.001438221749648
-0.065625,0.396875,2.5278562168425306e+17,162754793.67773497,6.125142393056323e-05,-0.0014405963670200406,0.0014418979262086694
-0.065625,0.40312499999999996,3.37047495579004e+17,143669926.37389204,5.8779772843520525e-05,-0.0014441420241569202,0.001445337762473389
-0.065625,0.40937499999999993,2.374652809761144e+17,126820749.42597853,5.639861854314948e-05,-0.0014474592329374654,0.0014485575705471604
-0.065625,0.41562499999999997,2.681059623923896e+17,111945761.51479287,5.410621804392146e-05,-0.0014505637325894242,0.0014515724663738904
-0.065625,0.421875,3.064068141627282e+17,98813976.66854538,5.1900616495383126e-05,-0.001453470121177166,0.0014543964614737506
-0.065625,0.428125,2.5278562168425306e+17,87221376.33145091,4.9779692988424984e-05,-0.0014561919404414568,0.0014570425475052805
-0.065625,0.43437499999999996,2.8342630310052614e+17,76987771.56185421,4.774119980127404e-05,-0.00145874175447299,0.0014595227741975808
-0.065625,0.44062499999999993,2.8342630310052362e+17,67954028.38946094,4.5782795936045455e-05,-0.0014611312226087624,0.0014618483211625954
-0.065625,0.44687499999999997,2.451254513301848e+17,59979614.65864818,4.390207569015635e-05,-0.0014633711669294034,0.0014640295640629079
-0.065625,0.453125,2.681059623923872e+17,52940431.40025061,4.209659291342386e-05,-0.0014654716347216523,0.0014660761355770957
-0.065625,0.459375,2.2980511062204826e+17,46726895.96860964,4.036388151968746e-05,-0.0014674419562542335,0.0014679969815727099
-0.065625,0.46562499999999996,2.374652809761165e+17,41242247.9092214,3.8701472749944336e-05,-0.001469290798198185,0.0014698004128666157
-0.065625,0.47187499999999993,2.22144940267978e+17,36401051.83482978,3.7106909621035667e-05,-0.0014710262130047777,0.0014714941529237555
-0.065625,0.47812499999999997,2.2980511062204826e+17,32127874.529110815,3.557775893879459e-05,-0.0014726556845360084,0.00147308538181849
-0.065625,0.48437499999999994,2.451254513301848e+17,28356116.107535057,3.4111621206310986e-05,-0.0014741861702245688,0.0014745807767574837
-0.065625,0.490625,2.144847699139098e+17,25026977.38073654,3.270613871573197e-05,-0.0014756241400224498,0.0014759865494396239
-0.065625,0.49687499999999996,2.681059623923896e+17,22088547.619205445,3.135900207507043e-05,-0.0014769756123801199,0.0014773084805066187
-0.065625,0.5031249999999999,2.8342630310052362e+17,19494998.738369208,3.006795538917218e-05,-0.0014782461874816451,0.001478551951317675
-0.065625,0.5093749999999999,2.0682459955984342e+17,17205873.536077447,2.8830800285731605e-05,-0.0014794410779453038,0.0014797219732629093
-0.065625,0.515625,1.5320340708136554e+17,15185457.043317055,2.7645398952533932e-05,-0.0014805651371842129,0.001480823214812812
-0.065625,0.5218749999999999,1.9916442920577517e+17,13402221.314315263,2.6509676330503883e-05,-0.0014816228856072906,0.0014818600264851003
