x_m,Gamma_Cu0_target_return_m1_s,Gamma_Cu0_wafer_m1_s,Gamma_Cuplus_target_m1_s,Gamma_Cuplus_wafer_m1_s
-0.076875,0.0,4.094286981304781e+20,0.0,0.0
-0.07312500000000001,0.0,4.575967802634724e+20,0.0,0.0
-0.069375,0.0,6.743531498619592e+20,0.0,0.0
-0.065625,0.0,5.0576486239646954e+20,0.0,0.0
-0.061875,0.0,4.575967802634724e+20,0.0,0.0
-0.058124999999999996,0.0,5.298489034629681e+20,0.0,0.0
-0.05437499999999999,0.0,8.188573962609501e+20,0.0,0.0
-0.05062499999999999,0.0,4.575967802634724e+20,0.0,0.0
-0.046874999999999986,0.0,5.780169855959652e+20,0.0,0.0
-0.043125,0.0,5.298489034629715e+20,0.0,0.0
-0.03937500000000001,0.0,3.130925338644811e+20,0.0,0.0
-0.035625000000000004,0.0,3.8534465706397676e+20,0.0,0.0
-0.031875,0.0,6.021010266624637e+20,0.0,0.0
-0.028124999999999997,0.0,5.298489034629681e+20,0.0,0.0
-0.024374999999999994,0.0,5.780169855959652e+20,0.0,0.0
-0.02062499999999999,0.0,3.130925338644811e+20,0.0,0.0
-0.016875,0.0,5.539329445294702e+20,0.0,0.0
-0.013125000000000012,0.0,6.021010266624637e+20,0.0,0.0
-0.009375000000000008,0.0,4.575967802634724e+20,0.0,0.0
-0.005625000000000005,0.0,6.021010266624637e+20,0.0,0.0
-0.0018750000000000017,0.0,6.021010266624637e+20,0.0,0.0
0.0018750000000000017,0.0,5.298489034629681e+20,0.0,0.0
0.005625000000000005,0.0,6.021010266624637e+20,0.0,0.0
0.009374999999999994,0.0,4.5759678026347545e+20,0.0,0.0
0.013124999999999998,0.0,3.8534465706397375e+20,0.0,0.0
0.016875,0.0,6.502691087954651e+20,0.0,0.0
0.020625000000000004,0.0,7.466052730614491e+20,0.0,0.0
0.024375000000000008,0.0,4.816808213299741e+20,0.0,0.0
0.02812500000000001,0.0,6.261850677289573e+20,0.0,0.0
0.031875000000000014,0.0,5.539329445294702e+20,0.0,0.0
0.03562499999999999,0.0,6.502691087954651e+20,0.0,0.0
